Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number,Relocated From X Coordinate,Relocated From Y Coordinate,Relocated From Latitude,Relocated From Longitude,Relocated From Location
06/18/2020 08:10:00 PM,Honda,Black,AL55858,Illinois,5027,N,RIDGEWAY,AVE,4924,N,RIDGEWAY,,Water Management,20-00044081,1150482.26622798,1933144.11788131,41.972451014,-87.722029117,"(41.97245101432947, -87.72202911703624)"
06/13/2020 10:20:00 AM,Ford,White,2579263,Illinois,1152,W,20TH,PL,2109,S,MAY,,Other,20-00042892,1169043.50558061,1890239.28992061,41.854333999,-87.655023964,"(41.85433399901015, -87.65502396354205)"
06/11/2020 08:45:00 AM,Hyundai,Blue,Q600969,Illinois,511,W,OAKDALE,AVE,141,W,DIVERSEY,,CDOT Street Resurfacing,20-00042475,1172327.79029055,1919865.10379729,41.935557149,-87.642093336,"(41.93555714929021, -87.64209333562343)"
06/11/2020 08:30:00 AM,Nissan,White,HEM793,Iowa,536,W,OAKDALE,AVE,141,W,DIVERSEY,,CDOT 50/50 Sidewalk,20-00042473,1172161.29029055,1919860.20379729,41.935547386,-87.642705373,"(41.93554738569794, -87.64270537314673)"
06/13/2020 10:00:00 AM,Toyota,White,BZ94255,Indiana,515,E,WACKER SUB,DR,320,E,LOWER WACKER DRIVE THE ISLAND,,Accident,20-00042890,,,,,
07/04/2020 12:40:00 PM,Nissan,Gray,9175897,Illinois,5950,S,PULASKI,RD,6001,S,PULASKI,,Accident,20-00046964,1150723.67470361,1864756.52012511,41.784783191,-87.722929925,"(41.784783190804546, -87.72292992506642)"
06/25/2020 07:56:00 AM,Toyota,White,AR61015,Illinois,4465,N,ELSTON,,4537,N,KEDVALE,,CDOT Street Resurfacing,20-00045248,1148019.02391422,1929301.77477995,41.961955222,-87.731186281,"(41.961955221885916, -87.73118628140402)"
06/25/2020 07:30:00 AM,Toyota,Black,BN33735,Illinois,1806,E,SCIENCE,DR,5800,S,COLUMBIA,,Accident,20-00045243,1189591.95426719,1866919.02397632,41.789871688,-87.58035422,"(41.78987168764212, -87.58035421969355)"
06/19/2020 11:37:00 AM,Honda,Black,CB49913,Illinois,302,W,MENOMONEE,ST,1836,N,LINCOLN PARK WEST,,CDOT Street Resurfacing,20-00044215,1173920.18989311,1912306.35188078,41.914780245,-87.636466981,"(41.914780244703316, -87.63646698106164)"
06/15/2020 08:46:00 AM,Toyota,Black,657737,Illinois,4637,N,ELSTON,AVE,4648,N,KASSON,,Other,20-00043115,1146665.88059364,1930530.89072535,41.965353995,-87.736129769,"(41.96535399527919, -87.73612976929616)"
